Accident.Number,Aircraft.Category,Aircraft.Destroyed,Aircraft.Type,Aircraft.damage,Amateur.Built,Broad.phase.of.flight,Country,Engine.Type,Event.Date,Event.Id,FAR.Description,Fatal.Serious,Fatal.Serious.Rate,Injury.Severity,Investigation.Type,Location,Make,Model,Number.of.Engines,Publication.Date,Purpose.of.flight,Registration.Number,Total.Fatal.Injuries,Total.Minor.Injuries,Total.People,Total.Serious.Injuries,Total.Uninjured,Weather.Condition
CEN19FA307,Airplane,False,CESSNA 140,Substantial,No,,United States,RECIPROCATING,2019-09-08,20190909X13121,091,2.0,1.0,Fatal,Accident,"Lakeview, SD",CESSNA,140,1.0,29-09-2021,AERIAL OBSERVATION,N73000,2.0,0.0,2.0,0.0,0.0,VMC
GAA19CA529,Airplane,False,CESSNA 172,Substantial,No,,United States,RECIPROCATING,2019-09-08,20190909X21154,091,0.0,0.0,Non-Fatal,Accident,"Mekoryuk, AK",CESSNA,172,1.0,26-09-2020,PERSONAL,N737NJ,0.0,0.0,1.0,0.0,1.0,VMC
WPR19FA256,Airplane,True,PIPER PA32,Destroyed,No,,United States,RECIPROCATING,2019-09-08,20190911X92611,091,1.0,1.0,Fatal,Accident,"La Grande, OR",PIPER,PA32,1.0,15-10-2021,PERSONAL,N6300Z,1.0,0.0,1.0,0.0,0.0,VMC
CEN19LA308,Airplane,True,CESSNA 150,Destroyed,No,,United States,RECIPROCATING,2019-09-09,20190909X25123,091,1.0,1.0,Fatal,Accident,"WHITEHALL, MI",CESSNA,150,1.0,26-09-2020,PERSONAL,N9492U,1.0,0.0,1.0,0.0,0.0,VMC
GAA19CA585,Airplane,False,BEECH 23,Substantial,No,,United States,RECIPROCATING,2019-09-09,20190913X30543,091,0.0,0.0,Non-Fatal,Accident,"Keystone Heights, FL",BEECH,23,1.0,26-09-2020,PERSONAL,N6009U,0.0,0.0,2.0,0.0,2.0,VMC
GAA19WA553,Airplane,True,CESSNA 208,Destroyed,No,,Germany,,2019-09-09,20190918X10113,NUSN,1.0,1.0,Fatal,Accident,"Gransee, Germany",CESSNA,208,,26-09-2020,,D-FIDI,1.0,0.0,1.0,0.0,0.0,
ERA19TA276,Airplane,False,BEECH 23,Substantial,No,,United States,RECIPROCATING,2019-09-10,20190910X44456,091,0.0,0.0,Non-Fatal,Accident,"Panama City, FL",BEECH,23,1.0,28-01-2021,INSTRUCTIONAL,N3555R,0.0,0.0,2.0,0.0,2.0,VMC
WPR19LA253,Airplane,False,ERCOUPE 415,Substantial,No,,United States,RECIPROCATING,2019-09-10,20190910X53248,091,0.0,0.0,Non-Fatal,Accident,"Maricopa, AZ",ERCOUPE,415,1.0,26-09-2020,INSTRUCTIONAL,N3816H,0.0,2.0,2.0,0.0,0.0,VMC
CEN19LA311,Airplane,False,CESSNA 172,Substantial,No,,United States,RECIPROCATING,2019-09-10,20190910X65550,091,0.0,0.0,Non-Fatal,Accident,"Grassy Butte, ND",CESSNA,172,1.0,28-01-2021,PERSONAL,N5347T,0.0,1.0,1.0,0.0,0.0,VMC
GAA19CA581,Airplane,False,CESSNA 152,Substantial,No,,United States,RECIPROCATING,2019-09-11,20190911X10827,091,0.0,0.0,Non-Fatal,Accident,"Hollywood, FL",CESSNA,152,1.0,26-09-2020,INSTRUCTIONAL,N904WA,0.0,0.0,1.0,0.0,1.0,VMC
